标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
华为手机 nova5pro【全新原封/分期免息/碎屏无忧/买贵退差/多重豪礼/全国联保】nova5 亮黑色 8GB+128GB全网通,华为（HUAWEI）,华为手机 nova5pro【全新原封/分期免息/碎屏无忧/买贵退差/多重豪礼/全国联保】nova5 亮黑色 8GB+128GB全网通,48155000279,2699.00,3029,5,1513,1485,0.97,80,131,12,19
【二手9成新】Apple iPhone 8 Plus 苹果8plus 苹果8P 全网通 二手手机 金色 64G 全网通,Apple,AppleiPhone8 plus,30377757561,2799.00,3014,5,2300,2358,0.97,15,4,27,24
华为畅享8e 青春版 双卡双待智能老人手机 黑色 全网通(2G+32G),华为（HUAWEI）,华为畅享8e 青春版 双卡双待智能老人手机 黑色 全网通(2G+32G),34805171927,526.00,2999,5,1404,2061,0.96,20,18,28,29
vivo iQOO Pro 高通骁龙855Plus 4800万AI三摄 44W超快闪充 4G全网通 勒芒蓝 8GB 128GB,vivo,vivoiQOO Pro,54897011174,3198.00,2982,5,1110,1830,0.96,80,22,17,25
,,,,,,,,,,,,,
荣耀20i 手机【30天价保、9重豪礼】 渐变蓝 全网通6GB+64GB,华为（HUAWEI）,华为（HUAWEI）荣耀20i,45613346122,1299.00,2968,5,1422,1537,0.99,18,23,7,2
Apple 苹果iphone xs max(A2104) 手机 金色 全网通256G,Apple,AppleiPhone XS Max,32974100438,8199.00,2952,5,1729,1878,0.98,36,22,20,9
飞利浦（PHILIPS） E218L移动联通 双屏翻盖老人手机 超长待机男女老年手机 学生备用功能机 炫舞红,飞利浦（PHILIPS）,飞利浦（PHILIPS）E218L,36794321811,279.00,2945,5,2451,1587,0.99,19,4,14,6
飞利浦（PHILIPS）E109 深海蓝 环保材质 防尘 直板按键 移动联通 双卡双待 老人手机 学生备用老年功能手机,飞利浦（PHILIPS）,飞利浦E109,100006166830,89.00,2941,5,590,2330,0.96,19,7,13,8
华为（HUAWEI） nova4手机（5重好礼） 蜜语红 8G+128G 4800万超广角三摄,华为（HUAWEI）,华为（HUAWEI） nova4手机（5重好礼） 蜜语红 8G+128G 4800万超广角三摄,39880805666,1949.80,2938,5,2150,1606,0.98,35,20,16,8
三星 Galaxy A80 8GB+128GB蜜桃金 （SM-A8050） 180°炫转三摄 骁龙730G 全网通4G 双卡双待手机,三星（SAMSUNG）,三星Galaxy A80,100006567222,3799.00,2936,5,1070,1766,0.91,124,46,73,27
【新品抢购】Redmi 8 5000mAh大电量 大字体大音量大内存 3D四曲面机身 AI双摄 骁龙八核处理器 AI人脸解锁 3GB+32GB 仙踪绿 游戏智能手机 小米 红米,小米（MI）,小米Redmi 8,100009081528,59.00,2905,5,450,2446,0.98,21,10,5,4
纽曼（Newman） V1 直板按键 移动联通 老人手机 老年功能机 黑色,纽曼（Newman）,纽曼（Newman） V1 直板按键 移动联通 老人手机 老年功能机 黑色,18121398866,568.00,2894,5,1661,2247,0.98,14,5,10,19
【二手9成新】苹果5s Apple iPhone5s二手手机 4.0英寸 深空灰 16G A1518移动4G,Apple,【二手9成新】苹果5s Apple iPhone5s二手手机 4.0英寸 深空灰 16G A1518移动4G,52953022434,1019.00,2887,5,845,2003,0.95,59,72,23,16
,,,,,,,,,,,,,
华为 Mate30手机【3期免息/送原装无线充/5g版咨询客服】全网通智能手机 星河银(8+128G),华为（HUAWEI）,华为（HUAWEI）华为mate30,57596551897,1199.00,2867,5,1684,1176,0.99,32,10,5,2
,,,,,,,,,,,,,
华为（HUAWEI）华为P20 Pro 【128G宝石蓝限时秒杀价】全网通4G  全面屏智能游戏手机 亮黑色 6GB+128GB,华为（HUAWEI）,华为（HUAWEI）华为P20pro,17213821693,2426.00,2763,5,932,2104,0.97,26,11,10,12
【二手9成新】乐视手机 乐2 原力金 X620 3+32G 全网通,乐视（Letv）,【二手9成新】乐视手机 乐2 原力金 X620 3+32G 全网通,19575876017,346.00,2743,5,2345,1622,0.97,29,19,45,22
【二手9成新】Apple iPhone 8 Plus 苹果8Plus 二手手机（送一年碎屏险） 深空灰 64G 全网通,Apple,AppleiPhone 8 Plus,27600506741,2776.00,2736,5,1503,1504,0.94,59,35,58,27
华为P30手机 【白条6期免息0首付+20天价保+现货当天发+1年碎屏险】 天空之境 全网通 8G+128G(6期免息),华为（HUAWEI）,华为（HUAWEI）华为P30,57234019309,3998.00,2743,5,788,1913,0.94,39,17,28,14
华为（HUAWEI）华为畅享9全网通智能手机 极光蓝(4G+64G),华为（HUAWEI）,华为（HUAWEI）华为畅享9,39213484962,999.00,2727,5,854,2037,0.97,14,14,13,13
诺基亚（NOKIA） 130DS手机老人机移动超长待机 大按键 大字体 直板 大音量学生机 双卡双待 红色,诺基亚（NOKIA）,诺基亚（NOKIA） 130DS手机老人机移动超长待机 大按键 大字体 直板 大音量学生机 双卡双待 红色,54359961602,148.00,2753,5,2123,1843,0.98,22,5,21,22
【二手9成新】OPPO R9 安卓手机 玫瑰金 全网通(4G RAM+64G ROM),OPPO,OPPOR9,12760017366,587.00,2700,5,1776,1942,0.96,24,13,33,30
【二手9成新】Apple iPhone 6s Plus苹果6S Plus 手机 玫瑰金色 64G 全网通,Apple,【二手9成新】Apple iPhone 6s Plus苹果6S Plus 手机 玫瑰金色 64G 全网通,17581277355,1228.00,2695,5,1768,1522,0.95,65,22,54,27
华为（HUAWEI） 荣耀V20 全面屏手机 魅海蓝 全网通(8G+128G),华为（HUAWEI）,华为（HUAWEI）荣耀V20,40359329681,2399.00,2692,5,1426,1661,0.97,24,22,22,19
【二手95新】OPPO Find X 手机 曲面全景屏 4G全网通 双卡双待 波尔多红 8GB+128GB,OPPO,【二手95新】OPPO Find X 手机 曲面全景屏 4G全网通 双卡双待 波尔多红 8GB+128GB,30281548251,2229.00,2689,5,1329,1726,0.95,44,35,35,26
一加OnePlus 7Pro 2K+90Hz 1+6T升级版 流体屏 高配游戏拍照手机 曜岩灰 8G+256G,一加,一加OnePlus 7Pro 2K+90Hz 1+6T升级版 流体屏 高配游戏拍照手机 曜岩灰 8G+256G,47867426887,4249.00,2658,5,924,1694,0.95,53,15,23,17
【现货速发-白色64G低至5488】Apple 苹果 iPhone 11 全网通 手机 黑色 128GB（碎屏无忧）,Apple,【现货速发-白色64G低至5488】Apple 苹果 iPhone 11 全网通 手机 黑色 128GB（碎屏无忧）,56648995643,5998.00,2655,5,674,1966,0.97,48,24,13,2
【二手9成新】OPPO R9s 安卓手机 黑色 4G+64G 全网通,OPPO,OPPOR9s,23622928750,616.00,2647,5,2112,1798,0.96,33,36,46,26
荣耀V20 手机【荣耀直供】 幻夜黑 全网通8GB+128GB,华为（HUAWEI）,华为（HUAWEI）荣耀V20,40348393195,2399.00,2650,5,1702,1460,0.98,29,22,23,10
OPPO K3手机【立减100元+蓝牙耳机】骁龙710VOOC闪充r15x/r17屏幕指纹全网通 （8G+128G）秘境黑 官方标配,OPPO,OPPOOPPO K3,47824369628,1799.00,2645,5,1099,1510,0.96,81,42,15,21
华为nova5 手机（已降200元 ）（白条分期免息+华为直供原装正品 ）下单送20重礼 仲夏紫 全网通（8G+128G）,华为（HUAWEI）,华为nova5 手机（已降200元 ）（白条分期免息+华为直供原装正品 ）下单送20重礼 仲夏紫 全网通（8G+128G）,52365379703,2599.00,2636,5,1098,1523,0.98,72,26,12,3
【超级爆款】华为荣耀9X 手机 幻夜黑 全网通6GB+64GB,华为（HUAWEI）,华为（HUAWEI）华为荣耀9X,53378090905,1599.00,2629,5,1006,1589,0.96,51,16,23,11
【二手9成新】 vivo X7  二手智能拍照手机 金色 4G+64G 全网通,vivo,【二手9成新】 vivo X7  二手智能拍照手机 金色 4G+64G 全网通,31176924210,552.00,2599,5,1487,1625,0.97,22,14,29,14
华为（HUAWEI）华为畅享9 手机【享10重好礼】 幻夜黑 全网通（4+64G）,华为（HUAWEI）,华为（HUAWEI）华为畅享9 手机【享10重好礼】 幻夜黑 全网通（4+64G）,46450090757,899.00,2575,5,1229,1881,0.98,24,9,14,5
【二手9成新】Apple iPhone6 Plus 苹果6 Plus手机 金色 64G 全网通,Apple,【二手9成新】Apple iPhone6 Plus 苹果6 Plus手机 金色 64G 全网通,26609763781,1066.00,2572,5,2221,1659,0.96,48,29,69,22
【二手9成新】 苹果8Plus Apple iPhone8 Plus 苹果8P二手手机 全网通 深空灰 64G,Apple,【二手9成新】 苹果8Plus Apple iPhone8 Plus 苹果8P二手手机 全网通 深空灰 64G,26609760998,2776.00,2568,5,1391,1784,0.94,44,15,50,29
华为（HUAWEI） 荣耀畅玩8A 全网通 智能手机 (3+32G)魅焰红,华为（HUAWEI）,华为（HUAWEI）荣耀畅玩8A,41537643985,658.00,2556,5,701,1973,0.97,18,10,15,5
荣耀Magic2 手机滑盖全面屏手机 渐变黑 全网通 8G+128G,华为（HUAWEI）,华为（HUAWEI）Magic2,35084806675,2065.00,2554,5,1489,1598,0.95,23,16,42,21
朵唯DOOV D1水滴全面屏全网通4G移动联通电信双卡双待 超薄智能手机女性学生老人手机微信八开 渐变蓝 4GB+64GB,朵唯（DOOV）,朵唯DOOV D1水滴全面屏全网通4G移动联通电信双卡双待 超薄智能手机女性学生老人手机微信八开 渐变蓝 4GB+64GB,44473656722,599.00,2553,5,1036,1432,0.92,72,44,57,28
小辣椒 R17 全面屏迷你智能手机 全网通4G移动联通电信双卡双待 WIFI热点学生备用卡片小手机 幻夜黑 至尊版（3GB+64GB）,小辣椒,小辣椒 R17 全面屏迷你智能手机 全网通4G移动联通电信双卡双待 WIFI热点学生备用卡片小手机 幻夜黑 至尊版（3GB+64GB）,49948717724,699.00,2533,5,1111,1372,0.95,115,53,37,13
荣耀畅玩8A 全网通手机 全面屏智能老人老年学生华为（HUAWEI）手机 极光蓝 3+32G 全网通,华为（HUAWEI）,荣耀畅玩8A 全网通手机 全面屏智能老人老年学生华为（HUAWEI）手机 极光蓝 3+32G 全网通,40776684813,699.00,2523,5,575,1940,0.97,10,11,9,6
360 N6 Pro 全面屏 智能手机 钛泽银 全网通(6G +64G),360,360 N6 Pro 全面屏 智能手机 钛泽银 全网通(6G +64G),24624669279,1399.00,2512,5,2151,1754,0.97,32,7,33,26
小米（MI） 小米6X 移动联通电信 全网通4G智能手机 樱花粉 6GB+64GB,小米（MI）,小米（MI） 小米6X 移动联通电信 全网通4G智能手机 樱花粉 6GB+64GB,28470562495,958.00,2511,5,1510,1742,0.97,16,6,30,16
Redmi 红米 7A 手机 Redmi7A AI美颜 双卡双待智能老人手机 金色 全网通3G+32G,小米（MI）,Redmi 红米 7A 手机 Redmi7A AI美颜 双卡双待智能老人手机 金色 全网通3G+32G,56801944409,588.00,2507,5,628,1851,0.95,23,9,17,11
【现货速发 华为直供】华为（HUAWEI）P20 Pro手机 亮黑色 6G+128G,华为（HUAWEI）,【现货速发 华为直供】华为（HUAWEI）P20 Pro手机 亮黑色 6G+128G,26881279035,2385.00,2506,5,2254,1437,0.99,19,9,6,3
华为（HUAWEI） 华为 畅享6 移动联通电信 智能老人手机 双卡双待 白色 移动版全网通4G(3G RAM+16G ROM),华为（HUAWEI）,华为（HUAWEI）畅享6,13884345731,699.00,2520,5,2363,1519,0.98,23,2,22,24
华为 P20 Pro 全面屏徕卡三摄游戏手机（30天价保+3色现货当天发+1年碎屏保） 极光色 全网通 6G+128G,华为（HUAWEI）,华为（HUAWEI）P20 Pro,26649956057,2399.00,2413,5,1754,1746,0.98,17,5,20,9
Apple 苹果 iPhoneX 全面屏 4G手机 银色 全网通 256G,Apple,AppleiPhone X,18601046770,7499.00,2413,5,2202,1673,0.98,19,16,26,9
飞利浦（PHILIPS） E218L 翻盖老人手机移动双卡双待长待机按键功能老年手机 红色,飞利浦（PHILIPS）,飞利浦（PHILIPS） E218L 翻盖老人手机移动双卡双待长待机按键功能老年手机 红色,36754979244,279.00,2405,5,1836,1487,0.99,10,3,3,7
华为（HUAWEI）畅享Max 9重保障10天价保全面屏大屏游戏手机 琥珀棕 全网通(4GB+128GB),华为（HUAWEI）,华为（HUAWEI）畅享Max,38831770141,1268.00,2398,5,944,1646,0.97,33,15,14,10
华为畅享8e青春版 手机 金色 全网通2G+32G,华为（HUAWEI）,华为（HUAWEI）畅享8e青春版,29679367162,529.00,2395,5,669,1911,0.95,10,13,25,8
华为nova4e 手机 雀翎蓝 全网通（6GB+128GB）,华为（HUAWEI）,华为nova4e 手机 雀翎蓝 全网通（6GB+128GB）,43734948548,1499.00,2394,5,1153,1222,0.98,21,15,16,3
【二手9成新】Huawei/华为 P20 Pro 手机 全面屏 徕卡三摄 4G全网通 时尚 双卡双待 樱粉金 6GB+64GB,华为（HUAWEI）,【二手9成新】Huawei/华为 P20 Pro 手机 全面屏 徕卡三摄 4G全网通 时尚 双卡双待 樱粉金 6GB+64GB,29704638997,1718.00,2399,5,1196,1651,0.97,29,12,17,16
小米（MI） MIX3 双卡双待 全面屏 游戏手机 黑色 6GB+128GB,小米（MI）,小米（MI） MIX3 双卡双待 全面屏 游戏手机 黑色 6GB+128GB,35229668755,1988.00,2383,5,1530,1715,0.97,21,16,26,14
【套装】vivo iQOO Neo骁龙845处理器 4500mAh大电池4G全网通手机 碳纤黑【耳机套装】 6G 128G,vivo,vivoiQOO Neo,44180439791,2098.00,2381,5,852,1500,0.96,35,11,18,11
自营 AGM H1 户外三防智能手机 防水防摔  JBL大喇叭音乐手机  双卡双待 枪黑 礼品版4G+64G,AGM,AGM H1,43687108648,1999.00,2382,5,1144,1434,0.97,76,40,21,12
索尼（SONY）Xperia 1 骁龙855三摄手机 6GB+128GB 6.5英寸屏 21:9屏幕 霞紫,索尼（SONY）,索尼（SONY）J9110,47297464958,5999.00,2380,5,1106,1223,0.95,204,17,42,9
长虹（CHANGHONG） L6 老人手机 全语音老人机 移动/联通2G 老年机 双卡双待 黑金,长虹（CHANGHONG）,长虹（CHANGHONG）L6,27321712787,199.00,2373,5,1848,1661,0.99,20,8,10,7
小米 红米Redmi 7A 智能老人手机 磨砂黑 2GB+32GB,小米（MI）,小米 红米Redmi 7A 智能老人手机 磨砂黑 2GB+32GB,48836402987,538.00,2372,5,426,1920,0.94,13,5,19,7
飞利浦（PHILIPS） E107 移动联通老人手机 星空黑,飞利浦（PHILIPS）,飞利浦（PHILIPS） E107 移动联通老人手机 星空黑,37088475772,99.00,2365,5,713,1629,0.96,35,5,8,18
小米 红米Note8 pro 手机【6400万四摄 液冷游戏芯】 电光灰 全网通6+128,小米（MI）,小米（MI）红米Note8 pro,55807795477,1599.00,2350,5,812,1512,0.96,61,37,17,9
华为nova4 手机 苏音蓝 2000万超广角三摄（6G+128G）,华为（HUAWEI）,华为nova4 手机 苏音蓝 2000万超广角三摄（6G+128G）,43087688482,1649.00,2349,5,1261,1235,0.97,37,24,18,10
飞利浦（PHILIPS） E289 红色 全网通 智能老人手机 移动联通电信4G 功能机4G 直板按键老年机 学生备用机,飞利浦（PHILIPS）,飞利浦E289,100005297504,389.00,2343,5,544,1759,0.93,20,5,22,18
小米play 手机 AI双摄 双卡双待 小水滴全面屏智能拍照手机 黑色 全网通 6G+128G),小米（MI）,小米play 手机 AI双摄 双卡双待 小水滴全面屏智能拍照手机 黑色 全网通 6G+128G),40989981676,1058.00,2335,5,744,1592,0.97,34,22,14,8
三防老人手机移动/联通 电霸老年手机 大字大声超长待机老人机 【G13】黑色移动联通版,中国联通（China Unicom）,三防老人手机移动/联通 电霸老年手机 大字大声超长待机老人机 【G13】黑色移动联通版,51682574874,49.00,2334,5,428,1887,0.95,17,4,14,5
朵唯 小朵S1 智能老人手机全网通4G 触屏手写安卓按键老年机学生备用无游戏 移动联通电信微信可视频 黑色 全网通16G版,朵唯（DOOV）,朵唯 小朵S1 智能老人手机全网通4G 触屏手写安卓按键老年机学生备用无游戏 移动联通电信微信可视频 黑色 全网通16G版,54221596343,389.00,2325,5,698,1593,0.95,49,31,25,9
【二手9成新】Apple iPhone 7 苹果7 二手手机 全网通 黑色 128G 全网通 。,Apple,AppleiPhone7,11016010497,1629.00,2317,5,2076,1458,0.95,45,36,65,33
【二手9成新】Apple iPhone6 苹果6手机  全网通 金色 64G 全网通,Apple,【二手9成新】Apple iPhone6 苹果6手机  全网通 金色 64G 全网通,30508570676,889.00,2315,5,1625,1088,0.97,21,10,32,11
【二手9成新】Apple iPhone7 苹果7 4.7英寸 智能游戏二手手机（送一年碎屏险） 金色 32G 全网通,Apple,【二手9成新】Apple iPhone7 苹果7 4.7英寸 智能游戏二手手机（送一年碎屏险） 金色 32G 全网通,27692916829,1188.00,2313,5,1389,1272,0.96,96,146,33,24
【二手9成新】Huawei/华为 Mate10 Pro 手机 徕卡双摄 游戏4G全网通面屏 双卡双待 银钻灰 6G+128G 全网通,华为（HUAWEI）,【二手9成新】Huawei/华为 Mate10 Pro 手机 徕卡双摄 游戏4G全网通面屏 双卡双待 银钻灰 6G+128G 全网通,27341443494,1659.00,2297,5,1547,1379,0.97,29,15,22,11
小米 Redmi 红米Note7Pro 4800万双摄 手机 亮黑色 6G+ 128GB 全网通,小米（MI）,小米 Redmi 红米Note7Pro 4800万双摄 手机 亮黑色 6G+ 128GB 全网通,42703965414,1208.00,2291,5,1196,1070,0.97,78,42,8,17
【二手9成新】OPPO R9 安卓手机 拍照手机 全网通4G（送快充） 金色 4G+64G 全网通,OPPO,【二手9成新】OPPO R9 安卓手机 拍照手机 全网通4G（送快充） 金色 4G+64G 全网通,26911581571,556.00,2276,5,1423,1328,0.97,21,11,22,18
【二手9成新】Huawei/华为Mate10 手机 智能4G全网通 双卡双待 徕卡双摄 2K屏 亮黑色 4GB+64GB,华为（HUAWEI）,【二手9成新】Huawei/华为Mate10 手机 智能4G全网通 双卡双待 徕卡双摄 2K屏 亮黑色 4GB+64GB,28479678534,1159.00,2272,5,1734,1484,0.98,20,23,10,13
【二手9成新】OPPO A57 安卓手机 玫瑰金 全网通(3G RAM+32G ROM),OPPO,【二手9成新】OPPO A57 安卓手机 玫瑰金 全网通(3G RAM+32G ROM),18845074463,396.00,2270,5,1458,1590,0.97,25,11,21,21
【二手9成新】Apple iPhone8 Plus 苹果8 Plus 二手手机 国行5.5英寸 深空灰 64G全网通,Apple,【二手9成新】Apple iPhone8 Plus 苹果8 Plus 二手手机 国行5.5英寸 深空灰 64G全网通,36858220102,2777.00,2260,5,704,1592,0.96,28,13,19,7
【二手9成新】华为手机（HUAWEI）P9 二手手机 玫瑰金色 4+64G 全网通,华为（HUAWEI）,华为（HUAWEI）华为P9,33960215751,660.00,2131,5,1139,1474,0.96,33,8,26,18
【二手9成新】三星GalaxyS8+（SM-G9550）二手手机全网通 黑色 6GB+128GB原装充电器,三星（SAMSUNG）,三星（SAMSUNG）三星S8+,45289223598,2088.00,2110,5,1396,1168,0.97,43,46,28,15
纽曼（Newman） L66C 直板按键 电信版 老人手机 老年功能机 红色,纽曼（Newman）,纽曼（Newman） L66C 直板按键 电信版 老人手机 老年功能机 红色,40839057046,88.00,2110,5,518,1597,0.95,13,3,14,9
【二手9成新】vivo Y67智能手机 玫瑰金 4GB+32GB 全网通,vivo,vivoY67,14028737832,446.00,2109,5,1194,1567,0.96,16,14,17,23
OPPO K3手机【至高直降200元+蓝牙耳机】骁龙710全网通VOOC闪充r17/15x同款手机 星云紫套装 8G+128G版,OPPO,OPPOOPPO K3,48239742213,1699.00,2109,5,783,1307,0.97,34,55,15,4
魅族（MEIZU） 魅族Note8 魅蓝升级 国民拍照手机 曜黑 全网通 (4+64GB),魅族（MEIZU）,魅族（MEIZU）魅族note8,34608562757,762.00,2107,5,733,1408,0.95,15,11,20,12
华为（HUAWEI） 畅享9e 手机 全网通版本64G 宝石蓝,华为（HUAWEI）,华为（HUAWEI）华为畅享 9e,45570223683,999.00,2102,5,309,1785,0.97,5,14,6,2
飞利浦（PHILIPS） E517 炫舞红 智能老人手机 移动联通双4G 电信VoLTE 直板按键 功能机4G 学生备用老年手机,飞利浦（PHILIPS）,飞利浦E517,100006126560,299.00,2102,5,450,1637,0.96,18,3,7,8
荣耀10青春版手机 渐变红 4G+64G全网通,华为（HUAWEI）,华为（HUAWEI）荣耀10青春版,57170382506,999.80,2100,5,939,1329,0.98,19,14,7,7
小辣椒 红辣椒7X尊享版 6+64GB 翡翠绿 4000mAh大电池  6.3英寸水滴屏 双面玻璃 微信8开 全网通4G 双卡双待,小辣椒,小辣椒红辣椒7X尊享版,100004239985,749.00,2099,5,820,1236,0.95,95,7,31,12
华为麦芒8 手机 9.0EMUI 7重好礼 30天价保 幻夜黑 6G+128G全网通 (3期免息0首付),华为（HUAWEI）,华为麦芒8 手机 9.0EMUI 7重好礼 30天价保 幻夜黑 6G+128G全网通 (3期免息0首付),32896815525,1599.00,2088,5,1585,1284,0.98,25,13,11,9
,,,,,,,,,,,,,
一加 5T 手机 OnePlus5T 全网通4G 双卡双待 星辰黑 6GB+64GB 官方标配,一加,一加一加5T,57006884447,1999.00,2082,5,1407,1420,0.96,33,5,29,20
OPPO A9 新品手机【3期免息+赠蓝牙音箱+碎屏险】128G内存水滴全面屏渐变全网通双卡双待 A9 云母绿  4G+128G 官网标配,OPPO,OPPOOPPO A9,34419346831,1399.00,2078,5,943,1350,0.98,33,44,7,11
小米（MI）MIX3 手机 黑色 全网通 (6GB+128GB),小米（MI）,小米（MI）MIX3,34059513144,1998.00,2077,5,1145,1260,0.97,20,11,21,10
小米（MI） 小米 红米7 手机 梦幻蓝 全网通 (3G+32G),小米（MI）,小米（MI）Redmi 7,56675632626,738.00,2072,5,560,1500,0.97,23,20,8,4
海信(Hisense)A6双屏手机 全面屏水墨屏 6GB+128GB 智能 商务 阅读手机 双卡双待全网通4G手机 睿黑,海信（Hisense）,海信Hisense A6,100000476944,2999.00,2069,5,1621,1028,0.99,119,82,5,8
天语（K-TOUCH）I9 迷你智能全面屏小手机  袖珍全网通4G 双卡双待 学生备用卡片手机 极光蓝（3+32GB）,天语（K-TOUCH）,天语（K-TOUCH）I9,43197706700,569.00,2066,5,562,1441,0.89,23,12,44,19
Apple 苹果 iPhone 11Pro Max 手机 暗夜绿色 全网通 256GB,Apple,AppleiPhone 11 Pro Max,55674461811,10799.00,2066,5,469,1566,0.93,26,15,26,5
Qin1s+ 多亲ai手机 小爱同学备用机 功能机 电信老人机 全网通4g版 WiFi热点 小米有品 Qin 1S+黑色全网通4G网络版标配,多亲（QIN）,多亲（QIN）Qin1s+升级版,43106520197,399.00,2061,5,552,1482,0.95,71,27,18,9
【二手9成新】Apple iPhone 7 苹果7 二手手机 玫瑰金色 32G 全网通,Apple,AppleiPhone 7,24692530820,1086.00,2071,5,1215,1381,0.93,48,13,60,19
小米 红米Note8手机 梦幻蓝 全网通4G+64G,小米（MI）,小米（MI）红米Note8,55076595703,999.00,2046,5,530,1503,0.97,25,14,5,8
小米（MI） 小米Play 移动全网通版  双卡双待 小水滴全面屏拍照游戏智能手机 黑色 6GB+128GB,小米（MI）,小米（MI） 小米Play 移动全网通版  双卡双待 小水滴全面屏拍照游戏智能手机 黑色 6GB+128GB,45185781314,998.00,2042,5,516,1490,0.93,22,7,26,10
Apple 苹果 iPhone XR 手机【3期免息0首付】 黑色 全网通 64GB,Apple,Apple 苹果 iPhone XR 手机【3期免息0首付】 黑色 全网通 64GB,42304136845,4849.00,2054,5,590,1437,0.95,22,20,18,9
【二手9成新】Apple iPhone8  二手苹果8 二手手机 国行4.7英寸 金色 64G全网通,Apple,Apple iPhone 8,29815689571,2099.00,2032,5,528,1537,0.93,12,5,21,16
【二手9成新】vivo X9 Plus 安卓手机 金色 6GB+64GB 全网通,vivo,【二手9成新】vivo X9 Plus 安卓手机 金色 6GB+64GB 全网通,16108421919,788.00,2028,5,1376,1403,0.96,26,22,33,21
【二手9成新】Apple iPhone X/XS Max 苹果 X/XS Max 二手手机 X 银色 256G全网通,Apple,AppleiPhone X,50586204249,3877.00,2030,5,1706,1495,0.97,25,7,23,12
LGRAVER移动联通4G老人手机超长待机直板军工三防老年手机4G网络学生手机卡片手机三防手机老人机 黑色【移动联通3G/4G】,LGRAVER,LGRAVER移动联通4G老人手机超长待机直板军工三防老年手机4G网络学生手机卡片手机三防手机老人机 黑色【移动联通3G/4G】,38270426285,198.00,2029,5,942,1360,0.96,18,7,21,12
飞利浦（PHILIPS）E109 柠檬黄 环保材质 防尘 直板按键 移动联通 双卡双待 老人手机 学生备用老年功能手机,飞利浦（PHILIPS）,飞利浦E109,100006166832,89.00,2021,5,430,1579,0.97,9,5,3,9
,,,,,,,,,,,,,
Apple 苹果 iPhone X (A1865) 手机 深空灰色 全网通256G,Apple,AppleiPhone X,25540408288,7299.00,1894,5,1130,1120,0.99,25,4,4,7
华为Mate30pro 手机（5G版咨询客服） 翡冷翠 全网通(8G+256G)(无线充套餐版),华为（HUAWEI）,华为Mate30pro 手机（5G版咨询客服） 翡冷翠 全网通(8G+256G)(无线充套餐版),57238468883,6499.00,1893,5,463,1421,0.98,20,17,4,5
华为（HUAWEI）畅享9 【现货速发/正品新机】移动全网通4G 全面屏智能手机 幻夜黑 4GB+64GB,华为（HUAWEI）,华为（HUAWEI）畅享9,42743865275,875.00,1888,5,277,1603,0.97,12,5,6,2
【二手9成新】Apple iphone 6 苹果 6 二手手机 国行4.7英寸 深空灰 64G 全网通,Apple,【二手9成新】Apple iphone 6 苹果 6 二手手机 国行4.7英寸 深空灰 64G 全网通,32793071676,888.00,1869,5,494,1504,0.96,6,4,10,6
华为nova4e 手机【5重好礼】 幻夜黑 全网通6G+128G,华为（HUAWEI）,华为（HUAWEI）华为nova4e,43359000477,1799.00,1854,5,989,837,0.97,20,9,23,5
联想Z6 6GB+128GB 蓝色 骁龙730 AIE处理器 4000mAh续航  屏幕光电指纹 后置三摄 全网通4G 双卡双待,联想,联想Lenovo Z6,100006222854,1499.00,1849,5,624,1175,0.92,90,19,24,26
【咨询减300】华为mate20 Pro手机【华为直供赠无线充等10+5重好礼】 全网通4G 翡冷翠（白条6期免息) 6G+128G（咨询领券减300元）,华为（HUAWEI）,【咨询减300】华为mate20 Pro手机【华为直供赠无线充等10+5重好礼】 全网通4G 翡冷翠（白条6期免息) 6G+128G（咨询领券减300元）,34658742005,4499.00,1842,5,1308,1367,0.98,16,11,13,3
华为Mate30  手机（5G版咨询客服） 罗兰紫 全网通(8G+128G)(华为原装无线充套餐版),华为（HUAWEI）,华为Mate30  手机（5G版咨询客服） 罗兰紫 全网通(8G+128G)(华为原装无线充套餐版),57236905618,4299.00,1836,5,524,1310,0.99,23,13,2,0
华为 （HUAWEI）华为畅享MAX手机 全网通 琥珀棕 4GB+128GB,华为（HUAWEI）,华为 （HUAWEI）华为畅享MAX手机 全网通 琥珀棕 4GB+128GB,42286472257,1198.00,1820,5,503,1302,0.97,16,6,11,4
华为（HUAWEI）华为P20Pro 手机 亮黑色 全网通（6G+128G）,华为（HUAWEI）,华为（HUAWEI）华为P20Pro 手机 亮黑色 全网通（6G+128G）,28553948999,2399.00,1819,5,1050,1336,0.97,21,10,19,3
华为（HUAWEI） 华为mate20x 手机（30天价保） 宝石蓝(4G版) 全网通(6G+128G),华为（HUAWEI）,华为（HUAWEI）华为mate20x,34658915936,4099.00,1813,5,1458,1060,0.98,21,20,15,6
多亲（QIN）Qin2AI助手 5.05寸全面屏智能超薄手机备机触屏 移动联通4g手机 电信Volte 蓝色,多亲（QIN）,多亲QIN2,100008180958,599.00,1808,5,413,1369,0.94,15,23,13,13
小米CC9手机 白色(白色恋人) 全网通6G+128G,小米（MI）,小米（MI）小米CC9,51924225188,1658.00,1808,5,580,1193,0.94,35,15,23,12
【二手9成新】OPPO A57 二手手机 玫瑰金 3GB+32GB 全网通,OPPO,OPPOA57,13704730449,398.00,1796,5,1282,1336,0.97,11,13,16,17
