标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
布鲁雅尔Blueair空气净化器303 家用卧室婴儿童房室内轻音 去除甲醛 除雾霾 除花粉二手烟,布鲁雅尔（Blueair）,布鲁雅尔303,1.00002E+11,4260,49602,5,32710,16212,0.97,415,155,288,392
飞利浦（philips）车载空气净化器 车载净化器 CP100Airmax,飞利浦（PHILIPS）,飞利浦CP100 Airmax,2873255,369,48874,5,44950,28824,0.99,413,56,162,252
松下（Panasonic）空气净化器家用除过敏原 除雾霾PM2.5异味 纳米水离子 卧室 F-PXF35C-S,松下（Panasonic）,松下F-PXF35C-S,318110,988,44821,5,41588,20816,0.98,322,272,212,458
飞利浦（PHILIPS）纳米级劲护滤网滤芯 FY3107/00 专业S2型适用飞利浦空气净化器AC4076 AC4016 AC4074,飞利浦（PHILIPS）,飞利浦FY3107/00,2484184,269,44574,5,38525,30984,0.99,167,32,168,125
博世 BOSCH 车用车载空气净化器 去除甲醛甲苯新车异味雾霾 灵动S300 高效净化PM2.5 自动循环,博世（BOSCH）,博世灵动S300,4782979,299,44230,5,27244,32029,0.99,263,125,82,105
松下（Panasonic）过滤网滤芯套装（集尘滤网F-ZXFP35C+脱臭滤网F-ZXFD35C）适用于F-PDF35C空气净化器,松下（Panasonic）,松下套装,7362177,178,44777,5,37728,29656,0.99,135,26,101,125
夏普（SHARP）空气净化器除雾霾PM2.5加湿净离子群杀菌家用卧室除醛空气质量实时监控KC-Z380SW,夏普（Sharp）,夏普KC-Z380SW,406874,1899,34737,5,33539,5667,0.97,166,52,425,497
352 空气净化器家用卧室除甲醛 除菌 除雾霾 除过敏源 智能开关机 X60灰色,352,352X60,1.00003E+11,2099,34715,5,33058,24321,0.99,266,419,57,75
松下(Panasonic) F-ZXFP35C 集尘过滤网滤芯(适用于空气净化器F-PXF35C/F-PDF35C/F-PDF35C-NP/NG),松下（Panasonic）,松下F-ZXFP35C,988851,110,34234,5,29672,23702,0.99,103,16,67,73
霍尼韦尔（Honeywell）空气净化器 除甲醛/除雾霾/除菌/除过敏原/除二手烟KJ305F-PAC1101G,霍尼韦尔（Honeywell）,霍尼韦尔KJ305F-PAC1101G,1360765,1699,31848,5,30870,8067,0.98,353,186,200,252
汉丽 除汽车异味甲醛 无耗材车载空气净化器 科技灰,汉丽,汉丽 除汽车异味甲醛 无耗材车载空气净化器 科技灰,42860576700,599,29891,5,9712,20134,0.99,77,140,29,16
美的（Midea）空气净化器 除甲醛 除菌 除霾净化器 卧室家用 负离子 新风净化器KJ210G-C46（卧室定制）,美的（Midea）,美的KJ210G-C46,1.00003E+11,598,21616,5,18115,14139,0.98,190,125,115,131
意创生活 空气净化器家用办公室桌面卧室客厅静音小型负离子迷你净化器非除二手烟味除甲醛杀菌雾霾除过敏原 EC99中型净化器,意创生活,意创生活 空气净化器家用办公室桌面卧室客厅静音小型负离子迷你净化器非除二手烟味除甲醛杀菌雾霾除过敏原 EC99中型净化器,18854526955,399,20442,5,17838,14986,0.99,152,85,26,35
意创生活 空气净化器家用办公室桌面卧室客厅静音小型负离子迷你净化器非除二手烟味除甲醛杀菌雾霾除过敏原 EC66绿植净化器,意创生活,意创生活 空气净化器家用办公室桌面卧室客厅静音小型负离子迷你净化器非除二手烟味除甲醛杀菌雾霾除过敏原 EC66绿植净化器,18229821358,199,20442,5,17838,14986,0.99,152,85,26,35
TCL 空气净化器家用除甲醛雾霾 五重净化杀菌TKJ200F-A1 天鹅白,TCL,TCL 空气净化器家用除甲醛雾霾 五重净化杀菌TKJ200F-A1 天鹅白,14701217642,799,20436,5,18089,10111,0.99,111,181,61,71
布鲁雅尔Blueair空气净化器510B 家用办公卧室客厅室内轻音 去除甲醛 除雾霾 除尘 除过敏源 含2套滤网,布鲁雅尔（Blueair）,布鲁雅尔510B,853091,5399,20299,5,19329,5527,0.98,222,200,115,192
布鲁雅尔Blueair空气净化器303+ 家用办公卧室客厅室内轻音 去除甲醛 除菌 除雾霾 除VOC 除异味,布鲁雅尔（Blueair）,布鲁雅尔303+,5189444,2999,19897,5,16866,12638,0.99,241,259,36,23
飞利浦（PHILIPS） 纳米级劲护滤网滤芯 FY3137/00 专业S3型 适用于飞利浦空气净化器AC3256/AC3254/AC3252,飞利浦（PHILIPS）,飞利浦FY3137/00,2340100,399,19726,5,17285,15192,0.99,45,15,57,37
IAM空气净化器 除甲醛雾霾细菌过敏原二手烟 家用办公室  实测CADR=801 监测VOC含甲醛 京鱼智能KJ780F-A1,IAM,IAMKJ780F-A1,7360341,2999,19614,5,15099,9882,0.99,328,873,22,42
飞利浦 (PHILIPS) 空气净化器 家用除甲醛 除雾霾 除过敏原 除细菌 病毒 AC1216/00,飞利浦（PHILIPS）,飞利浦AC1216/00,3595224,799,18977,5,16458,11661,0.98,139,105,109,120
松下(Panasonic) F-ZXPS60C 空气净化器集尘脱臭过滤网滤芯(适用于F-61C7PD/F-61C8PJD),松下（Panasonic）,松下F-ZXPS60C,5137364,399,18903,5,16410,13392,0.99,288,194,44,39
松下（Panasonic）空气净化器除甲醛家用 除过敏原 除细菌 除苯 除雾霾PM2.5二手烟 一键操控 F-61C7PD,松下（Panasonic）,松下F-61C7PD,4190043,1499,18903,5,16410,13392,0.99,288,194,44,39
一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 加强版黑色-送原厂滤芯 车载净化器,一宾（YIBIN）,一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 加强版黑色-送原厂滤芯 车载净化器,14720183502,226,18811,5,17459,8617,0.99,71,21,9,9
一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 专用滤芯 车载净化器,一宾（YIBIN）,一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 专用滤芯 车载净化器,14864976621,25,18811,5,17459,8617,0.99,71,21,9,9
一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 加强版白色-送原厂滤芯 车载净化器,一宾（YIBIN）,一宾 车载空气净化器 太阳能 车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车用品香薰 加强版白色-送原厂滤芯 车载净化器,14720183501,226,18811,5,17459,8617,0.99,71,21,9,9
英国IAM空气净化器家用实测颗粒物CADR值801立方米每小时京鱼座智能生态产品KJ780F-A1,IAM,IAMKJ780F-A1,19146781628,2999,19614,5,15099,9882,0.99,328,873,22,42
博世（BOSCH）车载空气净化器除甲醛汽车净化器除新车雾霾烟味异味PM2.5车内除味AM101pro 黑色,博世（BOSCH）,博世AM101 Pro（黑色）,5367227,499,17794,5,15111,5981,0.98,155,35,112,139
博世（BOSCH）车载空气净化器除甲醛汽车净化器除新车雾霾烟味异味PM2.5车内除味AM101 黑色,博世（BOSCH）,博世炫彩智能车载空气净化器AM101（黑色）急速净化CADR20 去除甲醛PM2.5,2427202,449,17794,5,15111,5981,0.98,155,35,112,139
博世（BOSCH）车载空气净化器除甲醛汽车净化器除新车雾霾烟味异味PM2.5车内除味AM101 红色,博世（BOSCH）,博世炫彩智能车载空气净化器AM101红色 急速净化CADR20 去除甲醛PM2.5,2428311,449,17794,5,15111,5981,0.98,155,35,112,139
博世（BOSCH）车载空气净化器除甲醛汽车净化器除新车雾霾烟味异味PM2.5车内除味AM101 灰色,博世（BOSCH）,博世炫彩智能车载空气净化器AM101（灰色） 急速净化CADR20 去除甲醛PM2.5,2427218,449,17794,5,15111,5981,0.98,155,35,112,139
霍尼韦尔（Honeywell）智能空气净化器 除雾霾/除甲醛 (京鱼座智能生态产品) KJ305F-JAC2101W,霍尼韦尔（Honeywell）,霍尼韦尔KJ300F-JAC2101W,1892549,1699,17380,5,16795,3083,0.98,170,52,130,132
小米(MI)空气净化器2代/pro 家用 除甲醛智能除灰尘雾霾二手烟办公室PM2.5 小米米家空气净化器2S,小米（MI）,小米（MI）以官网信息为准,10069270447,749,17249,5,14229,11274,0.98,95,52,180,103
小米(MI)空气净化器2代/pro 家用 除甲醛智能除灰尘雾霾二手烟办公室PM2.5 米家空气净化器pro,小米（MI）,小米（MI）以官网信息为准,10965370922,1199,17248,5,14228,11274,0.98,95,52,180,103
小米(MI)空气净化器2代/pro 家用 除甲醛智能除灰尘雾霾二手烟办公室PM2.5 小米米家空气净化器2S+除甲醛增强版滤芯,小米（MI）,小米（MI）以官网信息为准,10121541753,898,17248,5,14228,11274,0.98,95,52,180,103
小米(MI)空气净化器2代/pro 家用 除甲醛智能除灰尘雾霾二手烟办公室PM2.5 米家空气净化器 pro+除甲醛增强版滤芯,小米（MI）,小米（MI）以官网信息为准,10561824475,1249,17248,5,14228,11274,0.98,95,52,180,103
小米(MI)空气净化器2代/pro 家用 除甲醛智能除灰尘雾霾二手烟办公室PM2.5 小米米家空气净化器2S+除甲醛版滤芯,小米（MI）,小米（MI）以官网信息为准,11394379114,898,17248,5,14228,11274,0.98,95,52,180,103
飞利浦（philips）车载空气净化器 车载净化器 ACA251,飞利浦（PHILIPS）,飞利浦怡动车载,985602,499,16811,5,16024,2856,0.97,137,5,167,327
霍尼韦尔（Honeywell）APC15GC010506B 车载空气净化器,霍尼韦尔（Honeywell）,霍尼韦尔APC15GC010506B,1636722,799,16641,5,16285,880,0.98,27,0,81,177
德国DEDAKJ 空气净化器除甲醛 家用卧室客厅办公室除过敏原杀菌 无雾加湿负离子新风机 经典款·DK-EA31,DEDAKJ,德国DEDAKJ 空气净化器除甲醛 家用卧室客厅办公室除过敏原杀菌 无雾加湿负离子新风机 经典款·DK-EA31,34316386953,2380,16634,5,16427,13207,0.99,44,11,13,19
小米（MI）空气净化器滤芯pro/1代/2代/2s净化器滤网除甲醛除颗粒PM2.5米家增强版滤芯 小米空气净化器滤芯 除甲醛增强版（推荐）,小米（MI）,小米（MI）空气净化器滤芯pro/1代/2代/2s净化器滤网除甲醛除颗粒PM2.5米家增强版滤芯 小米空气净化器滤芯 除甲醛增强版（推荐）,26053217022,145,16573,5,9710,12980,0.99,17,34,20,11
小米（MI）空气净化器滤芯pro/1代/2代/2s净化器滤网除甲醛除颗粒PM2.5米家增强版滤芯 小米空气净化器滤芯 经济版,小米（MI）,小米（MI）空气净化器滤芯pro/1代/2代/2s净化器滤网除甲醛除颗粒PM2.5米家增强版滤芯 小米空气净化器滤芯 经济版,26053217020,137,16572,5,9709,12980,0.99,17,34,20,11
小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 米家空气净化器3代+增强版滤芯S1,小米（MI）,小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 米家空气净化器3代+增强版滤芯S1,11160912441,979,15451,5,14203,11728,0.99,60,79,65,38
小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 小米净化器2S+增强版滤芯,小米（MI）,小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 小米净化器2S+增强版滤芯,11394474745,898,15450,5,14202,11728,0.99,60,79,65,38
小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 小米米家空气净化器2S,小米（MI）,小米（MI）米家空气净化器3代/2S家用智能除甲醛雾霾PM2.5检测仪霾表屏显示 小米米家空气净化器2S,11160912439,798,15450,5,14202,11728,0.99,60,79,65,38
美泊客汽车载空气净化器太阳能除烟味除甲醛消除异味车用净化器抗雾霾车内 黑色,美泊客,美泊客汽车载空气净化器太阳能除烟味除甲醛消除异味车用净化器抗雾霾车内 黑色,10134991041,368,14891,5,14647,3740,0.99,52,26,47,54
美泊客汽车载空气净化器太阳能除烟味除甲醛消除异味车用净化器抗雾霾车内 白色,美泊客,美泊客汽车载空气净化器太阳能除烟味除甲醛消除异味车用净化器抗雾霾车内 白色,10133010982,368,14891,5,14647,3740,0.99,52,26,47,54
352 X83/X80家用空气净化器滤芯 滤网 除甲醛  除雾霾  除灰尘 除异味,352,352X83/X80滤芯套装,4513140,569,14784,5,12682,11258,0.99,36,18,31,20
唯有 车载空气净化器太阳能 除甲醛新车除味 车载净化器滤网 消除异味 汽车内车用净化器无线 黑色-送滤网,唯有,唯有 车载空气净化器太阳能 除甲醛新车除味 车载净化器滤网 消除异味 汽车内车用净化器无线 黑色-送滤网,1764165700,168,14759,5,13954,7493,0.98,109,28,96,106
唯有 车载空气净化器太阳能 除甲醛新车除味 车载净化器滤网 消除异味 汽车内车用净化器无线 白色-送滤网,唯有,唯有 车载空气净化器太阳能 除甲醛新车除味 车载净化器滤网 消除异味 汽车内车用净化器无线 白色-送滤网,1764165701,168,14759,5,13954,7493,0.98,109,28,96,106
歌盾（GEDUN）车载空气净化器 太阳能 车内负离子除甲醛雾霾PM2.5消除异味过滤灰尘汽车氧吧香薰 四重净化加强版白（除车异味）,歌盾（GEDUN）,歌盾（GEDUN）车载空气净化器 太阳能 车内负离子除甲醛雾霾PM2.5消除异味过滤灰尘汽车氧吧香薰 四重净化加强版白（除车异味）,29151563406,2699,14706,5,10530,8860,0.98,120,85,97,84
歌盾（GEDUN）车载空气净化器 太阳能 车内负离子除甲醛雾霾PM2.5消除异味过滤灰尘汽车氧吧香薰 四重净化加强版黑（除车异味）,歌盾（GEDUN）,歌盾（GEDUN）车载空气净化器 太阳能 车内负离子除甲醛雾霾PM2.5消除异味过滤灰尘汽车氧吧香薰 四重净化加强版黑（除车异味）,29151563407,1899,14706,5,10530,8860,0.98,120,85,97,84
亚都（YADU）空气净化器 办公室家用净化器 除甲醛细菌雾霾过敏源流感病毒 KJ600G-S5Pro（除流感病毒）,亚都（YADU）,亚都KJ600G-S5Pro,4964333,498.99,14496,5,13556,3977,0.99,342,306,52,68
亚都（YADU）空气净化器 办公室家用净化器 除甲醛雾霾病菌除尘除过敏源 KJ500G-S5（APP智控）,亚都（YADU）,亚都KJ500G-S5,3740498,68,14496,5,13556,3977,0.99,342,306,52,68
Unities 德国AIR家用无耗材空气净化器 针对重污染设计 除甲醛细菌过敏源强化版雾霾PM2.5 香槟金 Air1,Unities,Unities 德国AIR家用无耗材空气净化器 针对重污染设计 除甲醛细菌过敏源强化版雾霾PM2.5 香槟金 Air1,12875353549,617,14278,5,13657,8342,0.99,224,570,19,33
TCL车载空气净化器 车载净化器KJ16F汽车用净化器除甲醛新车异味除雾霾 【C2手自一体智能款】官方标配（含滤网）,TCL,TCL车载空气净化器 车载净化器KJ16F汽车用净化器除甲醛新车异味除雾霾 【C2手自一体智能款】官方标配（含滤网）,10582730427,118,14157,5,12880,5620,0.99,66,28,43,61
TCL车载空气净化器 车载净化器KJ16F汽车用净化器除甲醛新车异味除雾霾 【买2套减10元，4套减30元】1套原装滤网,TCL,TCL车载空气净化器 车载净化器KJ16F汽车用净化器除甲醛新车异味除雾霾 【买2套减10元，4套减30元】1套原装滤网,17160129726,2299,14157,5,12880,5620,0.99,66,28,43,61
A.O.史密斯 空气净化器家用 滤网滤芯套装 高效除甲醛除PM2.5细菌病毒（适用于KJ868BX/KJ802B/KJ806B）,史密斯（A.O.SMITH）,史密斯套装,1.00006E+11,1699,14383,5,10711,11088,0.99,47,29,24,28
史密斯(A.O.Smith) 空气净化器 初滤网滤芯MERV7 全系通用 PF-001,史密斯（A.O.SMITH）,史密斯PF-001,1753394,1699,13157,5,10105,10106,0.99,41,28,19,23
畅呼吸 智能空气净化器APP控制 家用除甲醛 除雾霾 除过敏原 除细菌病毒二手烟 KJ800G-JT01,畅呼吸,畅呼吸KJ800G-JT01,5487431,499,13135,5,12845,9623,0.99,122,169,63,41
大金（DAIKIN）空气净化器家用标准型 KJ336F-K01(MC70KMV2-N) 香槟金,大金（DAIKIN）,大金MC70KMV2-N,594341,499,12460,5,11913,2250,0.97,52,29,103,204
大金（DAIKIN）空气净化器家用标准型 KJ336F-K01(MC70KMV2-N) 香槟金,大金（DAIKIN）,大金（DAIKIN）空气净化器家用标准型 KJ336F-K01(MC70KMV2-N) 香槟金,1540331856,88,12460,5,11913,2250,0.97,52,29,103,204
DGQ 车载空气净化器除味器 化学分解提前消除异味烟味去除甲醛 汽车内车用家用终身无耗材 都市白,DGQ,DGQ 车载空气净化器除味器 化学分解提前消除异味烟味去除甲醛 汽车内车用家用终身无耗材 都市白,10580814359,2398,12387,5,8280,7561,0.98,121,123,47,40
DGQ 车载空气净化器除味器 化学分解提前消除异味烟味去除甲醛 汽车内车用家用终身无耗材 科技灰,DGQ,DGQ 车载空气净化器除味器 化学分解提前消除异味烟味去除甲醛 汽车内车用家用终身无耗材 科技灰,10580762112,346,12387,5,8280,7561,0.98,121,123,47,40
江南绣车载空气净化器太阳能汽车空气净化器负离子氧吧除异味香薰加湿器 珍珠白+送车充+精油,江南绣（Jiangnanxiu）,江南绣车载空气净化器太阳能汽车空气净化器负离子氧吧除异味香薰加湿器 珍珠白+送车充+精油,1460663499,999,12342,5,11871,3216,0.97,27,18,121,157
米家 新风机 换气 过滤雾霾PM2.5 除甲醛 阻隔过敏源 智能控制 小米新风机,米家,米家米家新风机,1.00002E+11,898,12193,5,6641,5939,0.97,435,236,126,29
松下(Panasonic) F-ZXGP70C 空气净化器集尘过滤网滤芯(适用于F-VXG70C-N/R),松下（Panasonic）,松下F-ZXGP70C,988853,749,12188,5,11017,8904,0.99,33,3,21,19
夏普（SHARP）空气净化器除雾霾PM2.5除甲醛净离子群除菌加湿家用卧室客厅母婴甄选 KC-WE20-W,夏普（Sharp）,夏普KC-WE20-W,1059755,898,12117,5,11304,3698,0.98,60,35,81,139
小米（MI）空气净化器2s家用办公室除甲醛雾霾二手烟卧室智能净化器 净化器2S+原装滤芯,小米（MI）,小米（MI）空气净化器2s家用办公室除甲醛雾霾二手烟卧室智能净化器 净化器2S+原装滤芯,26364829121,898,11998,5,11009,9492,0.99,36,42,50,21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
小米（MI） 米家空气净化器Pro/2S家用智能除甲醛雾霾PM2.5去二手烟客厅卧室办公室空气净化机 小米空气净化器2S,小米（MI）,小米（MI）小米空气净化器,10974440674,790,9954,5,9471,7340,0.98,50,43,105,33
小米（MI） 米家空气净化器Pro/2S家用智能除甲醛雾霾PM2.5去二手烟客厅卧室办公室空气净化机 空气净化器2s+高密度效能增强(滤网+炭滤芯)套装,小米（MI）,小米（MI）小米空气净化器,10991276316,889,9954,5,9471,7340,0.98,50,43,105,33
小米（MI） 米家空气净化器Pro/2S家用智能除甲醛雾霾PM2.5去二手烟客厅卧室办公室空气净化机 净化器2s+除异味花粉版（详见赠品）,小米（MI）,小米（MI）小米空气净化器,11401174421,889,9954,5,9471,7340,0.98,50,43,105,33
小米（MI） 米家空气净化器Pro/2S家用智能除甲醛雾霾PM2.5去二手烟客厅卧室办公室空气净化机 【小米净化器3+增强版除菌滤芯s1】套装,小米（MI）,小米（MI）小米空气净化器,56487873880,989,9954,5,9471,7340,0.98,50,43,105,33
德诺达（DENODA）空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味 负离子+臭氧杀菌型（典雅白）,DENODA,DENODAD1,41218546221,249,9762,5,3007,6849,0.98,36,65,23,20
德诺达（DENODA）空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味 负离子+臭氧杀菌型（玫红色）,DENODA,DENODAD1,41218546222,249,9756,5,3001,6849,0.98,35,65,23,20
思博润(SBREL)韩国进口滤材 配松下空气净化器过滤网滤芯 F-ZXFP35C+ZXFD35C 适用F-PXF35C PDF35C标准版,思博润（SBREL）,思博润F-ZXFP35C+ZXFD35C,1058155,99,9738,5,8898,4255,0.98,36,9,22,80
飞利浦(PHILIPS)除甲醛净化器PM2.5过敏原有害气体数字家用显示甲醛CADR300立方米AC5656,飞利浦（PHILIPS）,飞利浦AC5656,5221333,4099,9447,5,6858,7236,0.98,101,130,64,27
小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装滤芯,小米（MI）,小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装滤芯,11096057188,879,9437,5,9051,6894,0.99,31,53,35,26
小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装除甲醛滤芯增强版,小米（MI）,小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装除甲醛滤芯增强版,11096057187,879,9437,5,9051,6894,0.99,31,53,35,26
小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装滤芯除菌版,小米（MI）,小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S+原装滤芯除菌版,11155019760,879,9437,5,9051,6894,0.99,31,53,35,26
小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S,小米（MI）,小米（MI）米家空气净化器2S家用小型办公室智能去除甲醛雾霾二手烟检测仪空气清新过滤器进化机器 小米空气净化器2S,11096057186,769,9437,5,9051,6894,0.99,31,53,35,26
飞利浦（PHILIPS）空气净化器KJ300F-B03(AC4016)家用除甲醛,飞利浦（PHILIPS）,飞利浦AC4016/00,509769,1999,9386,5,8895,1547,0.96,41,3,137,223
海尔（Haier） 桌面空气净化器迷你办公桌面儿童小型净化器负离子保湿香薰 ZKJ-F40A1,海尔（Haier）,海尔（Haier） 桌面空气净化器迷你办公桌面儿童小型净化器负离子保湿香薰 ZKJ-F40A1,10552293198,379,8841,5,8060,6539,0.99,42,56,33,34
飞利浦（PHILIPS）车载空气净化器 汽车用除甲醛甲苯 便捷安装 APP智能掌控 GP7101,飞利浦（PHILIPS）,飞利浦GP7101,5651440,799,8804,5,6365,6520,0.99,84,57,22,13
飞利浦（PHILIPS）车载空气净化器升级版滤网 滤芯  标配GSF120Plus  适用型号：CP50系 GP7101 GP3201 CP100,飞利浦（PHILIPS）,飞利浦GSF120P,1.00005E+11,199,8804,5,6365,6520,0.99,84,57,22,13
TCL 空气净化器 TKJ300F-S103 颗粒物CADR=300立方米每小时  六重过滤除霾除醛 净化加湿二合一,TCL,TCLTKJ300F-S103,2088041,1832,8536,5,6797,3682,0.98,85,111,38,59
TCL 空气净化器 KJ420F-A1 颗粒物CADR=420立方米每小时 客厅卧室智能除雾霾甲醛过敏原【甲醛CADR：200】,TCL,TCLKJ420F-A1,4964107,959,8536,5,6797,3682,0.98,85,111,38,59
跨驰 太阳能车载空气净化器汽车内用负离子氧吧香薰除甲醛烟异味PM2.5雾霾滤网 新款加强版《黑色》(十重好礼）,跨驰（KUACHI）,跨驰 太阳能车载空气净化器汽车内用负离子氧吧香薰除甲醛烟异味PM2.5雾霾滤网 新款加强版《黑色》(十重好礼）,29697742850,228,8512,5,7678,1526,0.99,239,15,11,13
跨驰 太阳能车载空气净化器汽车内用负离子氧吧香薰除甲醛烟异味PM2.5雾霾滤网 新款加强版《白色》( 十重好礼 ）,跨驰（KUACHI）,跨驰 太阳能车载空气净化器汽车内用负离子氧吧香薰除甲醛烟异味PM2.5雾霾滤网 新款加强版《白色》( 十重好礼 ）,29697742851,228,8514,5,7680,1526,0.99,239,15,11,13
