"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","商品属性","页面网址","页面标题","采集时间"
"鸷鸟之魂","PLUS会员","star5","外形设计：非常漂亮，设计优美，很简洁净化效果：不错，测试过，很灵敏噪音大小：可以调节，灵活得很安装服务：无需安装操作难易：非常简单其他特色：小米这个牌子给我的感觉不仅价格非常亲民，而且很实惠很实在，之前买的手机也是非常结实，因此此次选了小米，纯粹是对品牌的信任，不务虚，很务实，有什么才说什么，没有的不乱说。这个产品也确实不错，不骗人，不夸大，想除甲醛就买专用滤芯，消费者用得放心。","2019-10-01 22:09","0","0","[购买5天后追评]",,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.4356359"
"北极星愿wb","PLUS会员","star5","外形设计：棒净化效果：好噪音大小：小安装服务：到位操作难易：简单其他特色：很棒","2019-09-23 20:55","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.5446830"
"D_六道","PLUS会员","star5","外形设计：简约时尚净化效果：快速，20-30平正好噪音大小：基本无声 可以接受安装服务：安装简单，自己可动手操作难易：操作界面简单明了其他特色：很实用，确实可以清除甲醛，粉尘，烟等等物质，检测非常敏感，效率很高。","2019-09-29 11:12","0","1",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.6065619"
"洛音离",,"star5","外形设计：简约现代  比较喜欢这种清爽的感觉净化效果：买回放在房间里面小孩子用的，正常一档，别的效果不清楚但是净化二手烟的效果一级棒棒的  客厅晚上会有好多烟民会制造很多二手烟，二手烟会从门缝里面跑到房间里面来，正好净化器放在门口旁边的位置，效果超级好，烟就被净化掉，没有用净化器，以前房间里面会有很多二手烟，有时候开窗户都没有用然后自从有了，有这个净化器之后房间里面的空气好了太多太多了，对孩子身体很好。噪音大小：一档 基本听不见声音，二挡 声音会大一点点三挡  因为功率比较大，所以声音会相对于来讲大一点。 可以等红色的数字变成绿色之后，然后换成一挡，就OK了，个人使用心得，仅供参考安装服务：插头从后面拿出来，然后插到插孔里面就OK啦！操作难易：十分简单明了的操作方式。幼儿园小班的小朋友都会。其他特色：搭配小米手机  使用更方便更快捷  奈斯用了好久了，才来评价的是真的好用，京东快递值得信赖，很快","2019-10-10 20:34","0","0",,,"【新品】米家空气净化器31                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.6589290"
"q***8",,"star5","宝贝看着不错，简洁美观大方，做工细致，显示屏黑底无光，显示清晰明了。三面进风口，进风量增大。部件的手感丰满。操作简便。噪音不大，还有静音模式，很贴心。包装完整，箱内有抗震泡沫，带有防尘罩。信赖米家。","2019-05-22 10:03","18","10",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.7157758"
"z***8","PLUS会员","star5","外形设计：美观大方净化效果：超级棒噪音大小：无噪音安装服务：方便简洁操作难易：容易简单其他特色：送货速度很快 节能补贴订单 优惠多多","2019-09-22 19:02","0","0","[购买1天后追评]","无噪音 超安静",,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.7716317"
"我喜欢小田","PLUS会员","star5","机器非常灵敏，效果明显，机器自动加大抽风速度，睡眠模式很安静，质量不错，物流业特别的给力，晚上下的单子，第二天就到了，产品外观也非常时尚，漂亮，用了以后呼吸顺畅了很多，而且感觉室内的空气特别清新，很棒的一款净化器。屋子里面没有了当时装修的气味。","2019-08-13 11:34","8","4",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.8365970"
"猪***饭","PLUS会员","star5","小米产业链出品，靠谱。包装扎实牢固，没有磕碰。净化器做工也非常精细，两孔电源线设计使用很灵活。可以用小米AI音箱语音控制，非常方便，自带显示屏各种信息一目了然。房子面积不大，在客厅和卧室都试了试，效果不错。睡眠模式非常安静，不吵人。","2019-09-04 15:14","3","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.8934434"
"amandawangshuna","PLUS会员","star5","产品的外观非常的简洁大方，操作也比较简单明了，可以用手机进行控制，也可以连接家里面的小爱，运行的时候噪音非常低，几乎可以忽略不计，老公的鼻炎经常打喷嚏，这个用在卧室里之后有了明显的好转，信任小米的产品，准备再入几样其他的家用电器。","2019-08-04 19:03","5","1",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:04.9627942"
"浪***n","PLUS会员","star5","外形设计：超级喜欢的设计 ，简洁大方，纯白色的，上面灰色有灰尘也看不出来，静音模式特别好，一点声音也没有，用过最好用的产品，还可以链接手机，操作简单，家里的甲醛少了好多，很信赖的产品，会继续光顾的，祝店家生意兴隆，","2019-09-23 19:53","1","0","[购买4天后追评]",,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:05.0236695"
"1***p","PLUS会员","star5","小米净化器最新款。外观漂亮，而且很智能，可以连接无线网络，实现手机和净化器互联，手机可以随时观看到净化器的信息，而且可以实现远程操控，很方便。而且有多个档位调节，儿童锁等等，尺寸也很小巧，在保留了上一代大小的基础上，净化面积大了很多，很实用，最重要的是便宜，总体来说很满意。","2019-08-25 22:49","9","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.2556497"
"糖豆妈妈-mzh","PLUS会员[试用]","star5","外形设计：简洁大方净化效果：不错，物超所值噪音大小：一点噪音都没有，非常好安装服务：简单便捷，不用费心，直接插电就好，而且智能操作操作难易：非常方便操作，简单其他特色：经济实惠，还能享受便捷生活","2019-10-05 07:48","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.3105392"
"yyLOVEyy云","PLUS会员","star5","外形设计：很漂亮净化效果：很好，十分钟不到，就降下来了噪音大小：安静操作难易：简单","2019-09-25 21:13","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.3653560"
"一***痛","PLUS会员","star5","温度，湿度屏幕显示直观大方小爱同学语音控制，方便智能噪音略大，进化效果还不错，很满意","2019-08-31 10:54","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.4222051"
"辛墨三三","PLUS会员","star5","净化效果：很好，运行半小时可以达标。噪音大小：睡眠模式，噪音很小。外形设计：简约，有设计感操作难易：非常简单！","2019-09-20 12:46","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.4771250"
"冷***0",,"star5","净化效果：使用强力净化，净化速度很快。噪音大小：睡眠模式几乎没有声音，还是可以接受的外形设计：设计大方，美观","2019-09-29 20:41","2","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.5389435"
"灬唐伯虎",,"star5","小米的产品讲真的还可以，质量和外观都有保证，小米的品质还真是良心了，机器不大很美观，不占地方，很精致，做工很好，声音不小，净化效果还不明显，期待效果，好评！","2019-06-22 17:22","17","3",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.5978150"
"p***3","PLUS会员","star5","外形设计：简洁大方净化效果：我觉得挺好的，因为我住的地方常年灰尘多，每次一开窗数据就增加，关窗拖地之后数据又降了下来。主要是家里有宝宝，所以我觉得还是有必要买一台空气净化器噪音大小：开机没有任何声音耶，很安静，这款好静音，喜欢安装服务：这款没有任何安装服务，直接拿到拆包装后插电就直接使用了呢操作难易：很简单的操作，而且按键就只有一个，主要是老公通过软件对净化器进行操作，觉得很好使。其他特色：京东送货真的是很快，订的很多产品都是隔天到手，方便又快捷！","2019-09-27 20:52","1","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.6570668"
"j***0","PLUS会员","star5","外形设计：简洁大气上档次。净化效果：快！好！特意搬到吸烟室试了一下，效果杠杠的，噪音大小：略微有点噪音，还可以接受，Pm值正常情况下，噪音不大。操作难易：简单易上手，老少皆宜。","2019-10-10 10:14","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.7248447"
"j***1","PLUS会员","star5","净化器 同样级别的我选择小米他家的 颜值超高 体极轻巧 同样的产品外观和价格都很良心 我收到后打开真的很惊喜了 外观磨砂白 显得高级大方 放在沙发旁边不占地方 声音有三档可以选择 睡眠档声音完全可以忽略 我放的位置离我的床也就是一米的距离 真的晚上睡觉完全听不到声音 我本身对噪音比较敏感的都听不见 最爱强劲档 就是有点噪音 但是吸收家里不好的空气真的很快 几分钟 数值就降下去了 机器里面自带滤芯净化空气的 滤芯一般使用寿命3个月 下载并打开米家App连接wifi可以查看到滤芯使用寿命 可以提醒我及时更换 App还可以充当遥控使用 开关机 调档位 都很方便 也算是很人性化了","2019-07-07 20:03","8","1",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:20.7892254"
"源***新","PLUS会员","star5","外形设计：简约时尚大方，LCD屏幕显示效果简洁。净化效果：开启强力模式，空气质量指数明显变化噪音大小：夜晚睡眠模式基本没有噪音很安静操作难易：操作简单","2019-09-28 08:48","0","0",,,"米家空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:35.9806506"
"暴力鸭蛋","PLUS会员","star5","净化效果：室外70+，老小区密封效果不佳，室内基本控制在10以下，自动模式噪音可以接受，睡眠档几乎感觉不到噪音，很好外形设计：不占地方，米家设计风格，开着比一般家用电器要好看的多操作难易：与米家app联动，非常方便，小爱同学可控","2019-10-10 09:22","2","0",,,"【新品】米家空气净化器31                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.0374989"
"李***仔",,"star5","外形设计：美观大方 净化效果：还不错 噪音大小：几乎没有声音操作难易：操作十分方便 手机也可以操作安装服务：很好安装其他特色：配送速度很快 一直信赖京东","2019-10-05 15:40","0","0",,,"小米经典净化器                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.1038778"
"炫***贝","PLUS会员","star5","很好呀，空气异味都能净化了，然后自动模式(A)真的很静音，也是超级省电。这需要用过才知道的，亲测省电，安静?，空气净化效果nice的，就很棒","2019-05-25 13:40","9","7",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.1657141"
"t***8",,"star5","外形设计：美观大方！净化效果：室内空气清新！噪音大小：几乎静音！安装服务：送货到小区，自行安装！操作难易：简单易操作！其他特色：放在家里象多了一个装饰品！","2019-10-04 20:08","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.2205664"
"j***9",,"star5","外形设计：美观上档次操作难易：好操作净化效果：很好其他特色：美观大气噪音大小：无噪音安装服务：好安装","2019-10-05 10:11","0","0",,,"小米经典净化器                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.2804059"
"小新的BABA","PLUS会员","star5","噪音大小：小外形设计：美观其他特色：首年第一眼看到你，整体感官很有科技感觉。做工大气，小米科技还是很好的！功能！这个很简单很人性化。插电-启动！选择模式有三种，第一种风力很强，图形为心形。大力吸取空间的有害气体，这个可以快速把屋子里面的浑浊之气净化。第二种！ A 这种模式很简单自动化。第三种就是睡眠模式！其次就是声音小，有小孩子也不怕。保证静音，还能净化空气。这个设备很好。值得拥有","2019-09-22 18:17","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.3392886"
"真***码","PLUS会员","star5","外形设计：简洁净化效果：很好噪音大小：很舒服安装服务：推荐操作难易：简单其他特色：很喜欢","2019-09-23 09:24","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.4046225"
"j***x","PLUS会员","star5","噪音大小：调成自动的声音很小外形设计：外观简约净化效果：净化处理特别好","2019-09-22 19:15","2","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.4985188"
"吕智勇_","PLUS会员","star5","外形设计：小巧，比一代强多了！！净化效果：因为某电视台推荐，才买的！效果特好，哈哈。噪音大小：没什么声音，很安静！安装服务：没有安装服务。自己就可以用。操作难易：很简单，手机操控，很容易。其他特色：价格便宜！！","2019-09-21 07:55","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:36.5643423"
"jd_182613qik","PLUS会员","star5","净化效果：效果不错噪音大小：不大外形设计：很秀气不占地安装服务：送货上门，安装方便操作难易：特容易其他特色：联网手机","2019-10-10 23:08","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:51.7719305"
"yjb蓝眉儿","PLUS会员","star5","外形设计：简洁大方，简单干净，大小适中净化效果：效果很好噪音大小：噪音小操作难易：反应灵敏，操作简单方便","2019-10-13 16:33","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:51.8282606"
"般***e",,"star5","之前觉得买空气净化器的人都矫情，大型真香现场!家里家具味胶味少了很多!棒噪音大小：很安静操作难易：非常简单外形设计：美观时尚","2019-10-09 20:05","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:51.8830773"
"我爱涂图","PLUS会员","star5","外形设计：外形设计的非常巧妙，很好看，  风口处小娃喜欢玩， 手指不会伸进去。净化效果：净化效果不错，净化后， 屋里空气很清新。噪音大小：声音不是很大 ，晚上开着也不影响休息。安装服务：不占地方 ，那都可以放下。操作难易：操作很简单，不看说明书都能操作。","2019-10-06 23:03","0","0","[购买6天后追评]","空气净化器很不错 效果很好","小米经典净化器                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:51.9389278"
"j***0","PLUS会员","star5","宝贝看着不错，简洁美观大方，做工细致。很好呀，空气异味都能净化了，然后自动模式(A)真的很静音，也是超级省电。这需要用过才知道的，亲测省电，安静?，空气净化效果nice的，就很棒","2019-05-29 08:42","6","3",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:51.9997652"
"缘***妈","PLUS会员","star5","外形设计：美观简洁大方净化效果：很好噪音大小：适中操作难易：简单其他特色：耗材价格亲民","2019-10-07 15:04","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:52.0586075"
"无间无回","PLUS会员","star5","净化效果：净化后空气清新操作难易：非常容易操作外形设计：外观大方，做工精致噪音大小：运行噪音小","2019-10-02 20:24","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:43:52.1144582"
